genotipo,clorofila,carotenoide,flavonoide_amarelo,polifenois,vitamina_c
P1R1,"39,018","125,419","128,381",369434,"663,739"
P1R2,"38,462","127,933","143,762",344954,"728,545"
P1R3,"39,942","126,312","159,785",378943,"765,686"
P2R1,"3,759","67,512","116,015",397572,"752,074"
P2R2,"3,698","64,768","99,333",392620,"745,996"
P2R3,"3,386","60,941","93,210",321052,"770,090"
P3R1,"3,561","70,599","99,400",359933,"841,176"
P3R2,"3,614","71,589","99,626",385812,"957,108"
P3R3,"3,343","72,826","109,814",331049,"893,301"
P4R1,"27,474","190,242","95,222",190813,"332,340"
P4R2,"28,789","194,405","82,493",183876,"401,199"
P4R3,"28,236","193,086","85,775",239759,"399,148"
P5R1,"11,010","125,138","74,513",260210,"215,547"
P5R2,"10,830","128,529","54,137",288815,"146,943"
P5R3,"10,773","123,597","65,573",249282,"197,889"
P6R1,"2,915","217,169","60,045",326211,"219,588"
P6R2,"2,747","203,306","56,609",390371,"290,605"
P6R3,"2,827","208,033","59,960",343650,"202,857"