genotipo,umidade,açucares_totais,acidez_titulavel,ph,solidos_soluveis,ss_at,clorofila,carotenoide,flavonoide_amarelo,polifenois,vitamina_c
P1R1 I,"90,926","7,536","1,909","2,850","13,000","6,810","2,496","6,654","3,128",9206,"239,566"
P1R1 II,"90,926","8,417","1,865","2,750","13,000","6,970","2,496","6,654","3,128",9206,"243,331"
P1R1 III,"90,926","9,002","1,934","3,060","13,000","6,720","2,496","6,654","3,128",9206,"206,763"
P1R2 I,"91,087","6,353","1,658","2,980","10,000","6,030","2,473","6,533","1,975",9083,"192,411"
P1R2 II,"91,087","5,891","1,582","3,010","10,000","6,320","2,473","6,533","1,975",9083,"181,751"
P1R2 III,"91,087","5,891","1,569","3,020","10,000","6,370","2,473","6,533","1,975",9083,"177,077"
P1R3 I,"91,170","5,903","1,613","2,890","9,000","5,580","2,519","6,614","1,773",8528,"176,085"
P1R3 II,"91,170","5,456","1,691","2,960","9,000","5,320","2,519","6,614","1,773",8528,"169,970"
P1R3 III,"91,170","5,646","1,666","3,100","9,000","5,400","2,519","6,614","1,773",8528,"165,766"
P2R1 I,"91,102","7,049","1,271","3,140","9,000","7,080","1,292","9,777","1,490",9264,"163,763"
P2R1 II,"91,102","6,236","1,226","3,210","9,000","7,340","1,292","9,777","1,490",9264,"168,889"
P2R1 III,"91,102","6,296","1,239","3,250","9,000","7,260","1,292","9,777","1,490",9264,"167,076"
P2R2 I,"90,912","7,047","1,337","2,920","10,000","7,480","1,308","9,779","1,648",11285,"169,514"
P2R2 II,"90,912","7,047","1,326","3,000","10,000","7,540","1,308","9,779","1,648",11285,"169,316"
P2R2 III,"90,912","7,284","1,265","2,970","10,000","7,910","1,308","9,779","1,648",11285,"167,374"
P2R3 I,"90,541","6,287","1,371","3,040","9,000","6,570","1,241","9,969","1,429",9631,"172,347"
P2R3 II,"90,541","6,287","1,442","2,970","9,000","6,240","1,241","9,969","1,429",9631,"163,410"
P2R3 III,"90,541","5,996","1,387","3,050","9,000","6,490","1,241","9,969","1,429",9631,"165,411"
P3R1 I,"88,274","7,626","1,181","2,890","13,000","11,010","1,279","7,714","1,702",6876,"503,157"
P3R1 II,"88,274","7,538","1,211","2,860","13,000","10,730","1,279","7,714","1,702",6876,"511,777"
P3R1 III,"88,274","8,643","1,150","2,880","13,000","11,300","1,279","7,714","1,702",6876,"515,562"
P3R2 I,"88,501","9,013","1,102","2,870","13,000","11,790","1,270","7,705","2,090",6888,"387,436"
P3R2 II,"88,501","9,140","1,151","2,860","13,000","11,300","1,270","7,705","2,090",6888,"381,465"
P3R2 III,"88,501","9,140","1,159","2,790","13,000","11,220","1,270","7,705","2,090",6888,"383,795"
P3R3 I,"88,257","8,539","1,140","2,930","13,000","11,400","1,317","7,751","2,291",6937,"488,051"
P3R3 II,"88,257","8,770","1,146","2,940","13,000","11,340","1,317","7,751","2,291",6937,"479,707"
P3R3 III,"88,257","8,320","1,148","2,920","13,000","11,320","1,317","7,751","2,291",6937,"478,402"
P4R1 I,"87,740","9,205","1,230","2,970","12,000","9,750","0,631","8,909","2,527",9323,"95,642"
P4R1 II,"87,740","8,707","1,265","2,970","12,000","9,490","0,631","8,909","2,527",9323,"93,761"
P4R1 III,"87,740","7,406","1,246","2,970","12,000","9,630","0,631","8,909","2,527",9323,"92,513"
P4R2 I,"88,049","9,190","1,254","2,840","13,000","10,370","0,620","9,051","2,489",10617,"89,514"
P4R2 II,"88,049","9,061","1,266","2,840","13,000","10,270","0,620","9,051","2,489",10617,"92,219"
P4R2 III,"88,049","9,147","1,286","2,840","13,000","10,110","0,620","9,051","2,489",10617,"93,341"
P4R3 I,"87,979","8,978","1,201","2,860","12,000","9,990","0,608","9,012","2,301",10124,"95,414"
P4R3 II,"87,979","8,855","1,199","2,860","12,000","10,010","0,608","9,012","2,301",10124,"92,826"
P4R3 III,"87,979","8,736","1,254","2,860","12,000","9,570","0,608","9,012","2,301",10124,"94,399"
P5R1 I,"87,524","11,354","0,925","3,200","14,000","15,140","0,328","13,938","3,714",16062,"116,796"
P5R1 II,"87,524","11,766","0,950","3,200","14,000","14,730","0,328","13,938","3,714",16062,"114,645"
P5R1 III,"87,524","10,969","0,930","3,200","14,000","15,060","0,328","13,938","3,714",16062,"118,752"
P5R2 I,"87,438","11,014","0,801","3,300","13,000","16,230","0,327","14,045","3,586",10979,"106,586"
P5R2 II,"87,438","10,481","0,818","3,300","13,000","15,890","0,327","14,045","3,586",10979,"99,209"
P5R2 III,"87,438","10,153","0,757","3,300","13,000","17,170","0,327","14,045","3,586",10979,"113,208"
P5R3 I,"87,150","11,356","0,781","3,340","13,000","16,630","0,326","13,995","3,577",12387,"112,048"
P5R3 II,"87,150","10,788","0,809","3,340","13,000","16,070","0,326","13,995","3,577",12387,"111,529"
P5R3 III,"87,150","10,440","0,781","3,340","13,000","16,630","0,326","13,995","3,577",12387,"109,544"
P6R1 I,"88,161","8,626","0,875","3,150","11,000","12,580","0,539","33,504","3,668",12266,"110,259"
P6R1 II,"88,161","8,189","0,811","3,150","11,000","13,570","0,539","33,504","3,668",12266,"111,815"
P6R1 III,"88,161","7,987","0,810","3,150","11,000","13,580","0,539","33,504","3,668",12266,"112,070"
P6R2 I,"87,366","7,761","0,807","3,150","11,000","13,630","0,533","34,186","3,299",12940,"112,795"
P6R2 II,"87,366","7,953","0,801","3,150","11,000","13,730","0,533","34,186","3,299",12940,"110,280"
P6R2 III,"87,366","8,053","0,788","3,150","11,000","13,960","0,533","34,186","3,299",12940,"98,276"
P6R3 I,"87,665","7,635","0,697","3,350","10,000","14,350","0,534","33,837","3,087",23474,"77,571"
P6R3 II,"87,665","7,546","0,736","3,350","10,000","13,590","0,534","33,837","3,087",23474,"65,388"
P6R3 III,"87,665","7,635","0,693","3,350","10,000","14,430","0,534","33,837","3,087",23474,"82,541"