genotipo,clorofila,carotenoide,flavonoide_amarelo,polifenois
P1R1,"0,331","21,378","12,316","46708,312"
P1R2,"0,334","21,671","13,173","46769,991"
P1R3,"0,326","22,227","18,803","41712,309"
P2R1,"0,966","11,954","18,399","46976,438"
P2R2,"0,965","11,597","19,173","46178,438"
P2R3,"0,934","12,154","14,057","40715,205"
P3R1,"0,380","6,683","18,472","46680,327"
P3R2,"0,388","6,669","14,672","45262,558"
P3R3,"0,397","6,879","16,614","48467,947"
P4R1,"2,555","23,777","42,414","24671,926"
P4R2,"2,503","23,472","22,613","25218,463"
P4R3,"2,573","23,159","29,799","23639,577"
P5R1,"0,529","78,633","34,829","47617,482"
P5R2,"0,534","76,808","41,667","50295,768"
P5R3,"0,528","78,973","43,871","49078,365"
P6R1,"1,449","71,826","47,699","128965,051"
P6R2,"1,445","71,104","37,842","106165,469"
P6R3,"1,439","71,429","39,381","109015,417"