genotipo,comprimento,diametro,peso
P1R1,"41,770","36,310","30,400"
P1R2,"43,940","36,150","33,920"
P1R3,"43,420","32,290","29,450"
P1R4,"39,190","33,260","24,440"
P1R5,"36,460","30,040","22,040"
P1R6,"42,210","33,080","27,760"
P1R7,"46,440","36,930","36,100"
P1R8,"37,480","33,690","22,740"
P1R9,"43,920","34,100","30,270"
P1R10,"43,850","38,720","35,980"
P1R11,"37,250","33,300","23,240"
P1R12,"36,810","31,960","21,870"
P1R13,"39,980","33,710","28,620"
P1R14,"41,800","35,440","29,950"
P1R15,"37,670","32,320","20,710"
P1R16,"36,630","31,640","22,990"
P1R17,"35,750","32,550","22,210"
P1R18,"40,130","31,990","23,740"
P1R19,"36,310","30,880","20,520"
P1R20,"36,100","37,070","20,580"
P1R21,"43,630","36,650","33,410"
P1R22,"44,000","34,600","33,000"
P1R23,"38,610","34,380","28,090"
P1R24,"36,260","31,260","20,750"
P1R25,"37,600","34,700","26,000"
P1R26,"37,290","36,400","28,650"
P1R27,"43,290","34,410","30,670"
P1R28,"34,440","30,810","18,680"
P1R29,"41,950","37,540","34,270"
P1R30,"47,080","36,030","36,670"
P1R31,"39,940","24,040","27,170"
P1R32,"37,450","34,150","24,300"
P2R1,"38,910","35,900","26,680"
P2R2,"48,560","41,610","31,980"
P2R3,"38,660","33,540","24,480"
P2R4,"37,340","30,890","21,920"
P2R5,"37,520","33,390","25,280"
P2R6,"37,690","33,370","25,330"
P2R7,"36,670","31,880","22,030"
P2R8,"35,760","31,740","21,080"
P2R9,"34,320","32,130","20,850"
P2R10,"34,690","31,900","19,840"
P2R11,"38,210","33,280","24,110"
P2R12,"36,280","31,280","19,750"
P2R13,"37,100","34,540","25,540"
P2R14,"35,600","32,240","22,090"
P2R15,"37,940","31,100","20,110"
P2R16,"37,580","35,240","25,350"
P2R17,"36,910","31,020","19,510"
P2R18,"38,100","33,630","24,770"
P2R19,"36,580","30,460","19,990"
P2R20,"38,250","35,020","27,990"
P2R21,"38,480","30,580","20,910"
P2R22,"39,360","35,340","26,520"
P2R23,"38,450","34,360","25,480"
P2R24,"38,660","33,440","24,070"
P2R25,"41,790","34,680","27,350"
P2R26,"34,930","33,370","22,730"
P2R27,"38,110","34,000","25,640"
P2R28,"42,050","35,400","29,590"
P2R29,"38,670","36,360","25,150"
P2R30,"39,860","35,710","25,680"
P2R31,"38,530","35,510","25,560"
P2R32,"44,750","40,440","39,050"
P3R1,"51,600","48,410","48,000"
P3R2,"27,640","46,450","40,000"
P3R3,"46,590","43,700","44,000"
P3R4,"41,460","40,290","36,000"
P3R5,"44,260","40,940","40,000"
P3R6,"39,860","37,280","30,000"
P3R7,"47,350","42,080","42,000"
P3R8,"43,410","38,530","32,000"
P3R9,"51,020","46,990","40,000"
P3R10,"40,960","39,260","34,000"
P3R11,"42,450","39,440","34,000"
P3R12,"41,700","38,230","32,000"
P3R13,"42,860","42,220","38,000"
P3R14,"46,530","42,170","42,000"
P3R15,"42,220","40,880","36,000"
P3R16,"42,070","40,840","38,000"
P3R17,"43,850","41,680","38,000"
P3R18,"37,420","35,650","30,000"
P3R19,"38,530","36,190","26,000"
P3R20,"39,820","39,190","30,000"
P3R21,"41,140","37,000","32,000"
P3R22,"36,320","36,150","24,000"
P3R23,"40,940","39,060","32,000"
P3R24,"43,450","40,450","36,000"
P3R25,"40,270","39,510","32,000"
P3R26,"48,030","40,360","38,000"
P3R27,"38,570","36,140","28,000"
P3R28,"48,210","43,480","50,000"
P3R29,"43,570","38,430","34,000"
P3R30,"40,290","38,090","28,000"
P3R31,"43,870","42,230","28,000"
P3R32,"48,610","41,950","42,000"
P4R1,"23,810","22,730","6,000"
P4R2,"27,550","25,260","10,000"
P4R3,"26,030","25,480","10,000"
P4R4,"26,400","24,140","8,000"
P4R5,"24,990","23,720","8,000"
P4R6,"27,850","25,820","10,000"
P4R7,"26,070","25,560","10,000"
P4R8,"26,650","25,530","10,000"
P4R9,"26,150","24,700","8,000"
P4R10,"28,740","24,810","8,000"
P4R11,"25,900","24,790","10,000"
P4R12,"24,740","23,950","8,000"
P4R13,"27,230","24,580","10,000"
P4R14,"25,940","23,490","8,000"
P4R15,"26,240","24,060","8,000"
P4R16,"25,010","24,500","8,000"
P4R17,"26,980","24,840","10,000"
P4R18,"26,680","25,210","8,000"
P4R19,"26,260","23,120","8,000"
P4R20,"25,390","25,970","8,000"
P4R21,"26,480","25,210","10,000"
P4R22,"28,260","27,010","12,000"
P4R23,"24,740","23,820","8,000"
P4R24,"26,320","25,220","10,000"
P4R25,"24,830","24,320","8,000"
P4R26,"26,970","25,990","10,000"
P4R27,"24,730","23,490","8,000"
P4R28,"26,070","24,530","8,000"
P4R29,"26,690","25,880","10,000"
P4R30,"30,030","27,350","12,000"
P4R31,"25,270","23,590","8,000"
P4R32,"27,100","25,170","10,000"
P5R1,"37,960","36,250","26,000"
P5R2,"32,560","30,100","17,000"
P5R3,"28,570","28,030","12,000"
P5R4,"30,860","28,650","14,000"
P5R5,"28,790","28,880","12,000"
P5R6,"33,650","29,600","14,000"
P5R7,"33,550","29,810","17,000"
P5R8,"30,740","29,540","9,000"
P5R9,"27,880","24,920","18,000"
P5R10,"32,410","32,270","15,000"
P5R11,"31,860","31,850","18,000"
P5R12,"33,530","30,040","17,000"
P5R13,"30,520","30,290","16,000"
P5R14,"31,890","30,670","17,000"
P5R15,"31,240","29,760","15,000"
P5R16,"28,260","27,510","12,000"
P5R17,"30,490","30,170","15,000"
P5R18,"29,400","28,280","12,000"
P5R19,"28,710","25,640","10,000"
P5R20,"28,960","28,570","13,000"
P5R21,"29,130","29,050","13,000"
P5R22,"28,480","26,540","11,000"
P5R23,"28,850","27,270","11,000"
P5R24,"27,230","27,290","11,000"
P5R25,"29,210","27,690","13,000"
P5R26,"27,920","29,290","14,000"
P5R27,"30,530","28,860","14,000"
P5R28,"30,290","29,060","15,000"
P5R29,"27,150","23,820","9,000"
P5R30,"28,070","27,460","13,000"
P5R31,"32,680","31,340","17,000"
P5R32,"31,200","30,460","14,000"
P6R1,"38,560","36,670","26,000"
P6R2,"33,060","30,220","17,000"
P6R3,"29,610","26,910","16,000"
P6R4,"33,760","29,790","14,000"
P6R5,"30,260","28,740","14,000"
P6R6,"27,240","24,140","8,000"
P6R7,"27,920","22,140","8,000"
P6R8,"31,340","25,680","11,000"
P6R9,"28,700","24,860","8,000"
P6R10,"29,680","25,890","11,000"
P6R11,"31,760","24,480","10,000"
P6R12,"32,070","27,010","12,000"
P6R13,"34,150","30,150","18,000"
P6R14,"32,640","27,230","12,000"
P6R15,"33,180","33,340","19,000"
P6R16,"33,810","31,340","16,000"
P6R17,"32,900","28,870","14,000"
P6R18,"29,010","27,400","11,000"
P6R19,"32,710","30,710","17,000"
P6R20,"29,010","26,450","11,000"
P6R21,"31,000","32,740","12,000"
P6R22,"40,000","28,700","14,000"
P6R23,"35,570","33,880","21,000"
P6R24,"32,430","27,600","12,000"
P6R25,"34,140","30,950","17,000"
P6R26,"33,080","26,920","12,000"
P6R27,"32,530","31,660","17,000"
P6R28,"31,970","30,550","16,000"
P6R29,"35,780","34,630","23,000"
P6R30,"33,770","26,980","12,000"
P6R31,"32,240","29,010","12,000"
P6R32,"37,280","36,550","26,000"